gutenberg_author_id,author,birthdate,deathdate
"40715","Conant, Charles A. (Charles Arthur)","1861","1915"
"46754","Chamberlain, Emily Hall",,"1916"
"49782","Young, Art","1866","1943"
"540","Rittenhouse, Jessie Belle","1869","1948"
"770","Perdue, Mitzi",,
"37524","Lavisse, Ernest","1842","1922"
"34288","Coelho Louzada, Antonio José","1828","1859"
"46404","Newman, Louis",,
"5460","Wheeler, Candace","1827","1923"
"55484","Moutier, Ignazio",,
"925","Christophe, Jules François","1840",
"2169","Boulger, Demetrius Charles","1853","1928"
"44503","Dendy, Walter Cooper","1794","1871"
"6947","Mason, Walter George","1820","1866"
"44239","Gelder, Jane (Trill) van",,
"43355","Akerman, John Yonge","1806","1873"
"39833","Kirkpatrick, J. (James)",,"1770"
"53660","Pólya, Tibor","1886","1937"
"37668","Hamilton, William, Sir","1730","1803"
"41059","Hulbert, Homer B. (Homer Bezaleel)","1863","1949"
"4340","Richards, Ellen H. (Ellen Henrietta)","1842","1911"
"41845","Hansard, Réné",,"1940"
"38219","Talman, Charles Fitzhugh","1874","1936"
"26710","Drake, Samuel Adams","1833","1905"
"47811","Holland, J. A.",,
"25920","Lamont, Gordon",,
"54336","O'Connor, Patrick","1915","1983"
"31310","Récamier, Jeanne Françoise Julie Adélaïde Bernard","1777","1849"
"1506","Bury, J. B. (John Bagnell)","1861","1927"
"50044","Newsholme, Arthur, Sir","1857","1943"
"48850","Calisch, James Howard","1863","1926"
"45583","Kantele, Väinö",,
"33016","Raysor, Joan",,
"106","Snelling, Henry Hunt","1816","1897"
"2141","Collins, J. E. (Joseph Edmund)","1855","1892"
"52881","Brummer, Aina","1859","1884"
"7708","Gibbon, Perceval","1879","1926"
"26288","Li, Bai","701","762"
"55179","Hunter, Warren","1904","1993"
"32140","Westerman, Percy F. (Percy Francis)","1876","1959"
"47786","Warner, Henry James",,
"50396","Palmer, A. W.",,
"49526","Groundstroem, Walter‏",,
"39134","Collins, Dennis",,
"4611","Coues, Elliott","1842","1899"
"45640","O'Donovan Rossa, Jeremiah","1831","1915"
"1361","Wallace, Dillon","1863","1939"
"52145","Dwiggins, W. A. (William Addison)","1880","1956"
